n,recursive,memo
1,0.000001000,0.000001000
2,0.000001000,0.000001000
3,0.000001000,0.000001000
4,0.000001000,0.000001000
5,0.000001000,0.000001000
6,0.000001000,0.000001000
7,0.000001000,0.000001000
8,0.000001000,0.000001000
9,0.000001000,0.000001000
10,0.000002000,0.000001000
11,0.000002000,0.000000000
12,0.000003000,0.000001000
13,0.000003000,0.000001000
14,0.000005000,0.000001000
15,0.000007000,0.000001000
16,0.000010000,0.000001000
17,0.000017000,0.000001000
18,0.000026000,0.000001000
19,0.000041000,0.000001000
20,0.000065000,0.000001000
21,0.000103000,0.000001000
22,0.000186000,0.000001000
23,0.000249000,0.000001000
24,0.000453000,0.000001000
25,0.000698000,0.000001000
26,0.001180000,0.000002000
27,0.001805000,0.000001000
28,0.003008000,0.000001000
29,0.005798000,0.000002000
30,0.007959000,0.000001000
31,0.015540000,0.000001000
32,0.023620000,0.000001000
33,0.036320000,0.000002000
34,0.056301000,0.000001000
35,0.092800000,0.000001000
36,0.145357000,0.000002000
37,0.239817000,0.000001000
38,0.396644000,0.000001000
39,0.496504000,0.000001000
40,0.974600000,0.000000000
